AD,02,"Canillo"
AD,03,"Encamp"
AD,04,"La Massana"
AD,05,"Ordino"
AD,06,"Sant Julia de Loria"
AD,07,"Andorra la Vella"
AD,08,"Escaldes-Engordany"
AE,01,"Abu Dhabi"
AE,02,"Ajman"
AE,03,"Dubai"
AE,04,"Fujairah"
AE,05,"Ras Al Khaimah"
AE,06,"Sharjah"
AE,07,"Umm Al Quwain"
AF,01,"Badakhshan"
AF,02,"Badghis"
AF,03,"Baghlan"
AF,05,"Bamian"
AF,06,"Farah"
AF,07,"Faryab"
AF,08,"Ghazni"
AF,09,"Ghowr"
AF,10,"Helmand"
AF,11,"Herat"
AF,13,"Kabol"
AF,14,"Kapisa"
AF,17,"Lowgar"
AF,18,"Nangarhar"
AF,19,"Nimruz"
AF,23,"Kandahar"
AF,24,"Kondoz"
AF,26,"Takhar"
AF,27,"Vardak"
AF,28,"Zabol"
AF,29,"Paktika"
AF,30,"Balkh"
AF,31,"Jowzjan"
AF,32,"Samangan"
AF,33,"Sar-e Pol"
AF,34,"Konar"
AF,35,"Laghman"
AF,36,"Paktia"
AF,37,"Khowst"
AF,38,"Nurestan"
AF,39,"Oruzgan"
AF,40,"Parvan"
AF,41,"Daykondi"
AF,42,"Panjshir"
AG,01,"Barbuda"
AG,03,"Saint George"
AG,04,"Saint John"
AG,05,"Saint Mary"
AG,06,"Saint Paul"
AG,07,"Saint Peter"
AG,08,"Saint Philip"
AG,09,"Redonda"
AL,40,"Berat"
AL,41,"Diber"
AL,42,"Durres"
AL,43,"Elbasan"
AL,44,"Fier"
AL,45,"Gjirokaster"
AL,46,"Korce"
AL,47,"Kukes"
AL,48,"Lezhe"
AL,49,"Shkoder"
